+--------------+---------------------------+---------------------------+---------------------------+---------------------------+---------------------------+
| Theme        | Associate Web Developer   | Web Developer             | Senior Web Developer      | Staff Web Developer       | Principal Web Developer   |
|--------------|---------------------------|---------------------------|---------------------------|---------------------------|---------------------------|
|              | Radius: Self              | Radius: Self              | Radius: Squad             | Radius: Chapter           | Radius: Organization      |
|--------------|---------------------------|---------------------------|---------------------------|---------------------------|---------------------------|
| Coding       | Focused on growth & learn | Focused on expanding thei | Proficient in all relevan | Puts forth technical prop | Primary expert in multipl |
|              | ing the chapter’s stack,  | r experience and proficie | t technical skills, and a | osals for sizable impact  | e areas of our organizati |
|              | best practices, and codeb | ncy in our codebase, with | ble to move quickly becau | for ecobee.               | on’s stack, deeply knowle |
|              | ase                       | solid understanding of re | se of deep understanding  |                           | dgeable in several domain |
|              |                           | levant areas.             | of large portions of code |                           | s.                        |
|              |                           |                           | base. Explores technologi |                           |                           |
|              |                           |                           | es and trends in the indu |                           |                           |
|              |                           |                           | stry.                     |                           |                           |
|--------------|---------------------------|---------------------------|---------------------------|---------------------------|---------------------------|
|              | Writes code and tests adh | Writes maintainable code  |                           | Consistently delivers cod | Has deep understanding of |
|              | ering to chapter standard | adhering to chapter stand |                           | e that sets the standard  | full stack encompassing t |
|              | s, iterating based on fee | ards.                     |                           | for quality and maintaina | heir domain. Can navigate |
|              | dback.                    |                           |                           | bility.                   | and make legacy code main |
|              |                           |                           |                           |                           | tainable.                 |
|--------------|---------------------------|---------------------------|---------------------------|---------------------------|---------------------------|
|              | Participates in code revi | Provides helpful, timely  | Provides meaningful code  | Considers high-level arch | Provides oversight, coach |
|              | ews and technical design. | code reviews.             | reviews which improve the | itecture decisions and ov | ing and guidance through  |
|              |                           |                           | performance and readabili | erall approach for mainta | code and design reviews.  |
|              |                           |                           | ty of code                | inability.                |                           |
|--------------|---------------------------|---------------------------|---------------------------|---------------------------|---------------------------|
| Debugging    | Understands the basics of | Debugs effectively within | Debugs expertly within th | Persistently debugs the t |                           |
|              | debugging and the tools u | their primary area to hel | eir primary focus area.   | oughest issues through en |                           |
|              | sed for it.               | p find root cause.        |                           | tire stack regardless of  |                           |
|              |                           |                           |                           | environment, finding root |                           |
|              |                           |                           |                           | cause or a viable workaro |                           |
|              |                           |                           |                           | und.                      |                           |
|--------------|---------------------------|---------------------------|---------------------------|---------------------------|---------------------------|
| Testing      | Knows the testing pyramid | Understands the testing p | Participates in tests at  | Understands their team's  | Understands the testing a |
|              | . Writes unit tests; some | yramid. Writes unit tests | all levels of the testing | testing approach, and use | pproach of several teams, |
|              | times with help from more | in accordance with it; ge | pyramid. Writes more scal | s quality metrics to iden | and uses quality metrics  |
|              | senior engineers.         | ts help from more senior  | able, long-term solutions | tify gaps. Works with the | to identify gaps. Works w |
|              |                           | engineers for higher leve | for expected edge cases.  | ir team to recommend solu | ith those teams to recomm |
|              |                           | l tests. Always tests exp |                           | tions that are in accorda | end solutions that are in |
|              |                           | ected edge cases and erro |                           | nce with accepted testing | accordance with accepted  |
|              |                           | rs as well as the happy p |                           | frameworks and the testin | testing frameworks and th |
|              |                           | ath.                      |                           | g pyramid.                | e testing pyramid.        |
|--------------|---------------------------|---------------------------|---------------------------|---------------------------|---------------------------|
| Architecture |                           | Understands how code fits | Makes well-reasoned desig | Has a broad understanding | Anticipates technical cha |
